                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.655,                 2.0334,                 1.5734,                0.28831,                0.36533,                0.19207,                0.09019,                  1.829,                 3.1314,                 1.8755,             0.00066267,             0.00066267,             0.00066267
                      2,                 1.6487,                  1.619,                 1.5839,                  0.398,                0.29721,                0.26375,                0.11351,                 1.9291,                 3.9887,                  1.886,              0.0013162,              0.0013162,              0.0013162
                      3,                 1.6288,                 1.6213,                 1.5927,                0.31997,                0.39332,                0.30567,                0.13531,                 1.9541,                  2.689,                 2.0868,              0.0019565,              0.0019565,              0.0019565
                      4,                 1.5866,                 1.4967,                 1.5504,                0.57919,                0.51084,                0.58007,                0.28852,                 1.7171,                  1.757,                 1.6627,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5629,                 1.4555,                 1.5338,                0.58256,                0.57031,                0.57555,                0.31483,                 1.6269,                 1.5342,                 1.6285,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5149,                 1.3987,                 1.4902,                 0.5538,                0.62539,                 0.5879,                0.29981,                 1.6436,                 1.5757,                 1.6415,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4956,                 1.3236,                 1.4763,                0.60785,                0.57585,                0.59238,                0.30744,                  1.671,                 1.5319,                 1.6539,               0.001901,               0.001901,               0.001901
                      8,                 1.4566,                 1.2635,                  1.451,                0.69755,                0.58824,                0.63838,                0.34013,                 1.5665,                 1.4741,                 1.5748,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4228,                 1.2221,                  1.425,                0.68127,                0.62206,                0.67419,                0.34586,                 1.6885,                 1.3743,                 1.6905,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3972,                  1.159,                 1.4029,                 0.6982,                0.59133,                0.68782,                0.36757,                 1.5546,                  1.374,                  1.563,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3887,                 1.1335,                  1.406,                0.68353,                0.62187,                0.67112,                0.33554,                 1.7803,                 1.4211,                 1.7342,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3757,                 1.2283,                  1.393,                0.76612,                0.57807,                0.68742,                0.35669,                  1.616,                  1.385,                 1.6029,               0.001802,               0.001802,               0.001802
                     13,                 1.3535,                 1.0773,                  1.368,                0.72607,                0.57276,                0.65414,                0.36436,                 1.5477,                 1.3212,                 1.5914,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3387,                  1.051,                 1.3602,                0.76072,                0.62011,                0.70367,                0.38003,                 1.5439,                 1.2203,                 1.5667,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3168,                 1.0155,                 1.3402,                0.73541,                0.62229,                0.67916,                 0.3757,                   1.49,                 1.2499,                 1.5546,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3043,                0.97482,                 1.3255,                0.69738,                0.64706,                0.69132,                0.40223,                 1.4906,                 1.2933,                 1.5597,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2744,                0.97142,                 1.3167,                0.78251,                0.55418,                0.66662,                0.38048,                 1.4987,                 1.3303,                 1.5436,               0.001703,               0.001703,               0.001703
                     18,                 1.2748,                0.94411,                 1.3066,                0.68132,                0.61558,                0.69458,                0.40242,                  1.465,                 1.2767,                 1.4976,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2482,                0.92673,                 1.3013,                0.73058,                0.64087,                0.70463,                0.39771,                 1.4774,                  1.282,                 1.5329,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2496,                0.92929,                 1.2968,                0.68515,                0.69659,                0.73392,                0.41086,                 1.4698,                  1.177,                  1.559,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2276,                0.91595,                 1.2907,                0.66736,                0.63355,                0.68191,                0.38416,                 1.4564,                 1.2579,                 1.5172,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.218,                0.89447,                 1.2853,                 0.6998,                  0.613,                 0.6606,                0.38146,                 1.4421,                  1.243,                 1.5644,               0.001604,               0.001604,               0.001604
                     23,                 1.2007,                0.85569,                 1.2629,                 0.6903,                0.68421,                0.71257,                 0.3966,                 1.5113,                 1.1585,                 1.5638,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1951,                0.84876,                 1.2611,                0.77789,                  0.613,                0.72258,                0.41493,                 1.4853,                 1.1248,                 1.5441,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1718,                0.83005,                 1.2448,                0.73626,                0.60499,                0.67437,                0.39312,                 1.5041,                 1.2926,                 1.5725,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1534,                0.81835,                  1.237,                0.73612,                0.65325,                0.70494,                0.40774,                 1.5745,                 1.1811,                 1.6488,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1591,                0.80034,                  1.254,                0.69654,                0.62535,                0.69073,                0.39486,                 1.5501,                 1.2147,                 1.5855,               0.001505,               0.001505,               0.001505
                     28,                 1.1596,                0.79187,                  1.237,                0.79153,                0.62303,                0.71202,                 0.4156,                 1.4697,                 1.1689,                  1.524,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1344,                0.77642,                 1.2276,                0.78513,                0.63467,                0.73643,                0.41283,                 1.5811,                 1.1089,                  1.596,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1168,                0.75568,                 1.2091,                0.75098,                0.67225,                0.75089,                0.44543,                 1.4818,                  1.206,                 1.5603,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0855,                0.72417,                 1.1917,                0.80259,                0.63777,                0.72432,                0.42848,                 1.5228,                 1.2393,                 1.5818,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0744,                0.73209,                 1.1802,                0.76844,                0.62672,                0.73221,                0.45412,                 1.4742,                 1.2033,                 1.5395,               0.001406,               0.001406,               0.001406
                     33,                 1.0672,                0.72434,                 1.1845,                0.76809,                0.63467,                0.72303,                0.41961,                 1.5645,                 1.1532,                 1.6268,              0.0013862,              0.0013862,              0.0013862
                     34,                  1.056,                0.70249,                 1.1772,                0.69485,                0.71204,                0.73293,                0.42753,                 1.4393,                 1.0762,                 1.5149,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0492,                0.71115,                 1.1785,                0.81289,                0.65325,                 0.7467,                0.44318,                  1.476,                 1.1036,                 1.5448,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0433,                0.70525,                 1.1804,                0.76937,                0.62539,                0.70053,                0.41951,                 1.4455,                 1.1191,                 1.5661,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0257,                0.67815,                 1.1566,                0.73195,                0.71015,                0.74739,                0.44972,                  1.429,                 1.1351,                  1.543,               0.001307,               0.001307,               0.001307
                     38,                 1.0244,                0.67378,                 1.1577,                 0.8044,                0.62387,                0.73396,                0.45107,                 1.4048,                   1.13,                 1.5101,              0.0012872,              0.0012872,              0.0012872
                     39,                0.99783,                0.67429,                 1.1493,                0.76231,                0.65535,                0.74986,                0.46015,                 1.3725,                 1.0929,                  1.484,              0.0012674,              0.0012674,              0.0012674
                     40,                0.98543,                0.64341,                 1.1387,                0.84312,                0.62229,                 0.7419,                0.43571,                 1.4852,                 1.1755,                 1.6424,              0.0012476,              0.0012476,              0.0012476
                     41,                0.98251,                0.65564,                 1.1373,                0.74749,                0.64087,                0.70838,                0.42397,                 1.5174,                 1.1519,                 1.6674,              0.0012278,              0.0012278,              0.0012278
                     42,                0.98181,                0.64486,                 1.1415,                 0.7128,                0.67802,                0.71347,                0.44157,                 1.4091,                 1.1284,                 1.5524,               0.001208,               0.001208,               0.001208
                     43,                0.97566,                0.64323,                 1.1333,                0.76899,                0.65325,                0.74848,                0.44183,                 1.4874,                 1.1312,                 1.5853,              0.0011882,              0.0011882,              0.0011882
                     44,                  0.964,                0.63911,                 1.1207,                0.68678,                0.71517,                0.74896,                0.44706,                 1.4127,                 1.0815,                 1.5463,              0.0011684,              0.0011684,              0.0011684
                     45,                0.93826,                0.63455,                 1.1071,                0.73469,                0.66254,                0.71618,                 0.4311,                 1.4314,                 1.1274,                 1.5458,              0.0011486,              0.0011486,              0.0011486
                     46,                0.93859,                0.60474,                 1.1091,                0.74675,                 0.6938,                0.74354,                0.44937,                 1.4042,                 1.1402,                 1.5233,              0.0011288,              0.0011288,              0.0011288
                     47,                0.96293,                0.62744,                 1.1537,                0.72461,                0.69969,                0.74594,                0.45615,                 1.3851,                 1.0521,                  1.548,               0.001109,               0.001109,               0.001109
                     48,                0.95019,                0.61527,                 1.1154,                0.88005,                0.59133,                0.75234,                0.44271,                 1.4114,                    1.1,                 1.5671,              0.0010892,              0.0010892,              0.0010892
                     49,                0.92086,                0.59439,                 1.1061,                0.77256,                0.65015,                0.71994,                0.43842,                 1.4169,                 1.1044,                 1.5457,              0.0010694,              0.0010694,              0.0010694
                     50,                0.89879,                 0.5745,                  1.092,                  0.771,                0.65325,                0.72089,                 0.4286,                 1.4499,                 1.2169,                 1.5939,              0.0010496,              0.0010496,              0.0010496
                     51,                0.89964,                 0.5806,                  1.094,                0.78838,                0.63158,                0.72285,                0.45123,                 1.4286,                 1.1721,                 1.5615,              0.0010298,              0.0010298,              0.0010298
                     52,                0.90345,                0.58372,                 1.0959,                0.76883,                0.66873,                0.74957,                0.46102,                 1.4342,                 1.0686,                 1.5871,                0.00101,                0.00101,                0.00101
                     53,                0.87302,                0.56273,                 1.0774,                0.74294,                0.66563,                0.74417,                0.45966,                 1.4385,                 1.0523,                 1.6014,              0.0009902,              0.0009902,              0.0009902
                     54,                0.87687,                0.56112,                 1.0779,                0.76282,                0.64706,                0.74083,                0.46053,                 1.4133,                 1.0543,                 1.5239,              0.0009704,              0.0009704,              0.0009704
                     55,                0.86511,                0.55768,                 1.0818,                0.72246,                0.70113,                0.75193,                0.46375,                 1.4296,                 1.0379,                 1.5708,              0.0009506,              0.0009506,              0.0009506
                     56,                0.86591,                0.55834,                 1.0849,                0.82309,                 0.6161,                0.73657,                0.45401,                 1.4243,                 1.0331,                 1.5779,              0.0009308,              0.0009308,              0.0009308
                     57,                  0.858,                0.55458,                 1.0661,                0.78829,                 0.6161,                0.72091,                0.45463,                 1.4167,                 1.1231,                 1.5879,               0.000911,               0.000911,               0.000911
                     58,                0.84233,                0.53533,                 1.0613,                0.76103,                0.66057,                0.74135,                 0.4498,                 1.4344,                  1.135,                 1.5948,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.8383,                0.53132,                 1.0659,                0.73614,                 0.6935,                0.74532,                0.46908,                  1.349,                 1.1045,                 1.4936,              0.0008714,              0.0008714,              0.0008714
                     60,                0.83539,                0.52756,                 1.0577,                0.74012,                 0.6789,                0.74141,                0.45362,                 1.4509,                 1.1028,                 1.6106,              0.0008516,              0.0008516,              0.0008516
                     61,                0.82783,                0.52193,                 1.0496,                0.77247,                0.66873,                0.73263,                 0.4415,                 1.5042,                  1.169,                 1.6359,              0.0008318,              0.0008318,              0.0008318
                     62,                0.81415,                0.53243,                 1.0501,                0.86546,                0.61738,                0.73045,                0.45616,                 1.4137,                 1.1629,                 1.5568,               0.000812,               0.000812,               0.000812
                     63,                0.82297,                0.51952,                 1.0538,                0.83313,                0.60284,                0.74003,                0.46437,                 1.3756,                 1.1382,                 1.5355,              0.0007922,              0.0007922,              0.0007922
                     64,                0.81518,                0.52191,                 1.0452,                0.75902,                0.65325,                0.73758,                0.45375,                 1.4139,                 1.2025,                 1.5571,              0.0007724,              0.0007724,              0.0007724
                     65,                0.80674,                 0.5087,                 1.0389,                0.82174,                0.60062,                0.72015,                0.45095,                 1.4715,                 1.1902,                 1.6056,              0.0007526,              0.0007526,              0.0007526
                     66,                0.80618,                0.50818,                 1.0426,                 0.7677,                0.64087,                 0.7251,                0.46317,                 1.4118,                 1.1273,                 1.5653,              0.0007328,              0.0007328,              0.0007328
                     67,                0.80167,                0.50724,                 1.0441,                0.84064,                0.62229,                0.73605,                0.47361,                  1.398,                 1.0656,                 1.5461,               0.000713,               0.000713,               0.000713
                     68,                0.77718,                0.49871,                 1.0278,                0.81327,                0.60372,                0.72593,                0.45694,                 1.3805,                  1.163,                 1.5505,              0.0006932,              0.0006932,              0.0006932
                     69,                0.78429,                 0.4968,                 1.0393,                0.77333,                0.64087,                 0.7192,                0.45811,                 1.4016,                 1.2041,                 1.5542,              0.0006734,              0.0006734,              0.0006734
                     70,                0.78168,                0.49562,                 1.0305,                0.79821,                0.65635,                0.74052,                0.45967,                 1.4422,                 1.1562,                 1.5985,              0.0006536,              0.0006536,              0.0006536
                     71,                0.77173,                0.48894,                 1.0294,                0.80671,                 0.6161,                0.72324,                0.45394,                 1.4372,                 1.1938,                 1.5909,              0.0006338,              0.0006338,              0.0006338
                     72,                0.75879,                0.47644,                 1.0169,                 0.8189,                0.60991,                 0.7223,                0.45579,                   1.42,                 1.2416,                  1.582,               0.000614,               0.000614,               0.000614
                     73,                0.76235,                0.47121,                 1.0148,                0.77708,                0.64754,                0.71773,                0.44647,                 1.4629,                 1.2563,                 1.6433,              0.0005942,              0.0005942,              0.0005942
                     74,                0.74596,                0.45977,                 1.0113,                0.80918,                0.63016,                0.74138,                0.45812,                 1.4135,                 1.2015,                  1.569,              0.0005744,              0.0005744,              0.0005744
                     75,                0.74013,                0.45858,                 1.0111,                0.82053,                0.64087,                0.74559,                0.46865,                 1.4301,                  1.152,                 1.6007,              0.0005546,              0.0005546,              0.0005546
                     76,                0.74153,                0.45628,                 1.0159,                0.87358,                0.60062,                0.73455,                0.46262,                 1.4222,                 1.1787,                 1.5683,              0.0005348,              0.0005348,              0.0005348
                     77,                0.72745,                0.45343,                 1.0034,                0.79036,                0.65944,                0.72226,                  0.456,                 1.4391,                 1.1486,                 1.6116,               0.000515,               0.000515,               0.000515
                     78,                0.72509,                0.45992,                 1.0061,                0.82951,                 0.6192,                0.73009,                0.46442,                 1.3903,                 1.1202,                 1.5536,              0.0004952,              0.0004952,              0.0004952
                     79,                0.70999,                0.44749,                 1.0049,                0.77784,                0.67492,                0.73639,                0.46569,                 1.4222,                 1.1366,                 1.5838,              0.0004754,              0.0004754,              0.0004754
                     80,                0.70188,                0.43872,                 0.9949,                0.82471,                0.63467,                0.74023,                0.46281,                  1.439,                 1.1417,                 1.6088,              0.0004556,              0.0004556,              0.0004556
                     81,                0.71183,                0.44435,                 1.0039,                0.81354,                0.66189,                0.74639,                0.46949,                   1.43,                 1.1627,                 1.5993,              0.0004358,              0.0004358,              0.0004358
                     82,                0.70472,                0.43657,                 0.9982,                0.79066,                0.64396,                0.74147,                0.46735,                 1.3954,                 1.2289,                 1.5639,               0.000416,               0.000416,               0.000416
                     83,                0.70176,                0.44064,                0.99614,                0.81495,                0.65635,                0.73823,                 0.4613,                 1.4133,                 1.1884,                 1.5788,              0.0003962,              0.0003962,              0.0003962
                     84,                0.68732,                0.42599,                0.99193,                0.81054,                0.64903,                0.73209,                 0.4665,                 1.3617,                 1.2274,                 1.5459,              0.0003764,              0.0003764,              0.0003764
                     85,                0.68139,                0.42587,                0.98463,                0.84856,                0.64706,                0.74857,                 0.4787,                 1.4087,                 1.1443,                 1.5945,              0.0003566,              0.0003566,              0.0003566
                     86,                0.67444,                0.42816,                0.98279,                0.80467,                0.62495,                0.72839,                0.46216,                 1.4098,                 1.2174,                 1.5735,              0.0003368,              0.0003368,              0.0003368
                     87,                0.67564,                0.41983,                0.98552,                 0.7594,                0.65472,                0.72999,                0.46433,                 1.4049,                 1.1917,                 1.5678,               0.000317,               0.000317,               0.000317
                     88,                 0.6666,                0.41852,                0.98086,                0.75932,                0.66418,                0.72725,                0.45709,                 1.3898,                 1.1703,                 1.5576,              0.0002972,              0.0002972,              0.0002972
                     89,                0.66166,                0.41917,                 0.9777,                0.76827,                0.66563,                 0.7221,                0.46096,                 1.3814,                 1.2233,                 1.5568,              0.0002774,              0.0002774,              0.0002774
                     90,                0.66485,                0.41484,                0.97874,                0.74852,                0.66349,                0.71889,                0.45786,                 1.4256,                 1.1893,                 1.6081,              0.0002576,              0.0002576,              0.0002576
                     91,                0.61025,                0.33494,                0.92596,                0.77163,                0.66563,                 0.7418,                0.47467,                 1.4314,                 1.1724,                  1.638,              0.0002378,              0.0002378,              0.0002378
                     92,                0.58526,                 0.3082,                0.91133,                0.79708,                0.64455,                  0.743,                0.48397,                 1.4172,                 1.1886,                 1.6195,               0.000218,               0.000218,               0.000218
                     93,                0.57237,                 0.3031,                0.90777,                0.84686,                0.60372,                0.73296,                0.46409,                 1.4322,                 1.1965,                 1.6446,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.5682,                0.30055,                0.90681,                0.78919,                0.63747,                0.73345,                0.47374,                 1.4305,                 1.1974,                 1.6425,              0.0001784,              0.0001784,              0.0001784
                     95,                0.55001,                0.28825,                 0.8997,                0.76057,                0.63158,                0.73058,                0.46729,                 1.4416,                 1.2343,                 1.6552,              0.0001586,              0.0001586,              0.0001586
                     96,                0.54972,                0.29287,                0.90267,                0.85551,                0.59752,                0.74223,                0.48434,                 1.4219,                 1.1832,                 1.6214,              0.0001388,              0.0001388,              0.0001388
                     97,                0.54194,                0.28933,                0.89397,                0.85727,                0.59506,                0.74549,                0.48156,                 1.3988,                 1.1925,                 1.5994,               0.000119,               0.000119,               0.000119
                     98,                0.52742,                 0.2814,                0.88787,                0.77624,                0.63777,                0.74207,                0.48215,                 1.3998,                 1.2075,                 1.6167,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.52667,                0.28011,                0.88487,                 0.7983,                0.63158,                0.74484,                0.48396,                 1.3906,                 1.2006,                 1.5959,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  0.528,                0.28346,                 0.8851,                0.76255,                0.64626,                0.74901,                0.48722,                 1.3873,                 1.2013,                 1.5931,               5.96e-05,               5.96e-05,               5.96e-05
